food,Calorie,Fat,Carbohydrates,Protein,Water
tomato bisque soup,248,5,47.7,4.5,194.3
shark fin soup,99,4.3,8.2,6.9,194.7
onion soup,113,3.5,16.4,7.5,212.4
chicken gumbo soup,113,2.9,16.8,5.3,221.8
crab soup,95,0.8,12.5,10.4,217.4
tripe soup,148,5.2,8.1,17.2,166.8
little india little lunch,164,10.6,2,0,0
original chicken sandwich chick fil a,125,5.1,0,0,0
sausage mcmuffin mcdonalds,383,24.2,28.2,14.6,44.8
sausage mcgriddles mcdonalds,421,24,42.2,11.4,54.1
crispy chicken drumstick kentucky fried chicken,70,3,0,10.6,26.6
chicken crispy drumsticks kentucky fried chicken,156,10.1,4.5,11.8,29.3
biscuit kentucky fried chicken,185,9.1,22.1,3.8,15.1
english muffin mcdonalds,97,2.3,2.9,5.7,0
french fries mcdonalds,378,18.1,49.8,4,42.9
hotdog,383,23,28.5,16.4,83.6
french fries burger king,207,9.2,28.6,2.4,32.5
original taco with beef cheese lettuce taco bell,158,8.8,13.7,6.1,39.3
hotdog with chili,296,13.4,31.3,13.5,54.5
chicken crispy wings kentucky fried chicken,148,10.1,5.1,9.2,18.4
egg white delight mcdonalds,250,16,0,0,0
french toast sticks burger king,73,3.7,8.7,1.3,7
mcchicken mcdonalds,358,17.3,36.6,13.7,60.4
nachos supreme taco bell,480,26.6,45,14.8,104.9
crispy chicken wing kentucky fried chicken,104,5.3,1.3,12.6,23.7
chicken strips burger king,105,5.5,7.4,6.6,15.5
crispy chicken breast kentucky fried chicken,214,6.7,0.4,38.2,92
sausage biscuit mcdonalds,440,29.7,31.8,11.3,40.6
sausage burrito mcdonalds,339,17.1,24.2,13,55.8
onion rings fried,27,1.6,2.8,0.3,1.6
onion rings burger king,379,23,39.7,3.5,22.3
turkey patty fried,79,5,4.4,3.9,13.9
hotcakes with syrup mcdonalds,601,17.8,101.8,9,89.7
crispy chicken thigh kentucky fried chicken,163,9.1,0,20.4,59.8
corn dog,195,9.4,21,6.7,39.2
chicken box mcdonalds,70,4,5.5,0.2,0
potato wedges kentucky fried chicken,379,19.8,45,5.4,59.2
scrambled eggs mcdonalds,98,7.5,0.9,7.7,34.1
egg mcmuffin mcdonalds,287,12.2,27.3,17.2,66.3
nachos taco bell,362,21.9,36,5.1,33.9
biscuit large mcdonalds,310,14.4,39.4,5.5,27.6
crispy chicken strips kentucky fried chicken,129,7.2,6.4,9.5,22.5
hotcakes mcdonalds,113,2.9,19,3,23.9
chicken crispy breast kentucky fried chicken,375,23.2,11.9,29.7,72
hotcakes sausage mcdonalds,776,34.9,102.4,15.5,107.4
chicken mcnuggets mcdonalds,48,3.2,2.4,2.5,7.5
chips chipotle,151,7.1,2.1,0.2,0
biscuit mcdonalds,261,12.2,33.3,4.7,23.3
rice bowl with chicken,36,0.4,6.4,1.6,19.6
spaghetti with meatballs,200,8.2,22.9,8.7,157.6
meat ravioli canned,259,8.9,36,8.9,205.1
cheese ravioli canned,186,3.5,33,6,195.8
premium crispy chicken ranch blt sandwich mcdonalds,586,22.9,59.8,35.3,116.7
steak sandwich,459,14.1,52,30.3,104.2
cheeseburger burger king,380,19.7,31.5,19.4,59.3
cheeseburger mcdonalds,313,14,33.1,15.4,53.6
double cheeseburger,643,36.9,41,37,107.5
double hamburger,942,58.6,51.4,52.1,206.8
premium grilled chicken classic sandwich mcdonalds,366,8.6,44.6,28.3,114.6
big n tasty with cheese mcdonalds,573,36,39.7,27.2,140.1
premium grilled chicken club sandwich mcdonalds,493,18,44.3,38.3,117.1
quarter pounder mcdonalds,417,19.8,37.9,24.1,86.1
premium crispy chicken classic sandwich mcdonalds,524,20,58.6,27.8,119.6
veggie burger,124,4.4,10,11,42.8
quarter pounder with cheese mcdonalds,513,28.3,39.7,29,97.3
beef sandwich steak raw,173,15.1,0,9.2,31.4
cheeseburger,292,13.2,28.7,15,55.3
premium grilled chicken ranch blt sandwich mcdonalds,412,10.9,44.3,33.7,108.3
double whopper with cheese burger king,1061,68.1,53.9,57.7,212.6
big mac mcdonalds,563,32.8,44,25.9,112.3
sandwich with cold cuts,833,39.3,79.9,41.1,221
filet o fish mcdonalds,378,19.6,35.4,15.1,61.3
hand breaded chicken tenders carls jr,57,2.9,0.2,0,0
grilled chicken sandwich wendys,370,8,0,0,0
sandwich with roast beef,410,13,44.3,28.6,127.4
hamburger burger king,258,10.4,26.5,14.7,45.5
big n tasty mcdonalds,524,31.7,38.5,24.7,133.9
roast beef sandwich,364,15.3,33.1,22.6,74.4
roast beef sandwich with cheese,473,18,45.4,32.2,76.6
hamburger,255,9.9,28.7,12.9,43.5
premium fish sandwich burger king,572,27.4,58.7,22.6,106.6
whopper burger king,790,48.4,52.8,35.4,173.5
sandwich with tuna salad,584,28,55.4,29.7,139
original chicken sandwich burger king,569,29.2,52.2,24.2,89
double whopper burger king,942,58.6,51.4,52.1,206.8
premium crispy chicken club sandwich mcdonalds,635,29.9,57.4,39.1,122
hamburger mcdonalds,251,9.6,28.8,12.3,42.3
pepperoni pizza dominos,308,12.6,36,12.7,49
sausage pizza,325,14.3,35.5,13.3,49.9
pepperoni pizza,313,13.2,35.5,13,46.4
pepperoni pizza pizza hut,269,10.9,30.3,12.3,39.7
cheese pizza pizza hut,260,10.5,30,11.5,41.6
cheese pizza,285,10.4,35.7,12.2,46.2
cheese pizza dominos,278,9.7,35.9,11.7,48.5
meat vegetable pizza,332,14.8,34.5,15,68.5
sucker raw,146,3.7,0,26.6,126.7
northern pike raw,348,2.7,0,76.3,312.5
haddock cooked,135,0.8,0,30,119.5
burbot cooked,104,0.9,0,22.3,66.1
pollock cooked,356,3.8,0,75.3,217.5
rainbow smelt raw,27,0.7,0,5,22.3
whitefish cooked,265,11.6,0,37.7,100.2
walleye pike raw,148,1.9,0,30.4,126.1
carp cooked,275,12.2,0,38.9,118.4
wolffish cooked,293,7.3,0,53.4,176.7
snapper cooked,218,2.9,0,44.7,119.6
roe cooked,58,2.3,0.5,8.1,16.6
anchovy raw,37,1.4,0,5.8,20.8
herring raw,291,16.6,0,33,132.6
cod raw,189,1.5,0,41.1,187.6
tilapia raw,111,2,0,23.3,90.6
whiting cooked,84,1.2,0,16.9,53.8
skipjack tuna cooked,407,4,0,86.9,191.8
salmon cooked,733,44,0,78.7,230.5
chum salmon cooked,474,14.9,0,79.5,210.8
american shad cooked,363,25.4,0,31.3,85.3
shark cooked,65,3.9,1.8,5.3,17
trout cooked,118,5.3,0,16.5,39.3
swordfish raw,196,9,0,26.7,99.8
rainbow trout cooked,119,5.2,0,16.9,48.8
fish sandwich with cheese,374,19.6,35.4,15.1,61.3
jellyfish dried,21,0.8,0,3.2,39.4
mullet raw,139,4.5,0,23,91.6
halibut cooked,353,5.1,0,71.7,242.1
lingcod raw,213,2.7,0,44.2,202.6
orange roughy cooked,30,0.3,0,6.4,19
cisco raw,77,1.5,0,15,62.4
florida pompano cooked,186,10.7,0,20.8,55.4
snapper raw,218,2.9,0,44.7,167.6
fish sandwich,565,27.4,58.7,22.6,106.6
haddock raw,143,0.9,0,31.5,160.9
ocean perch raw,51,1,0,9.8,50.4
cuttlefish cooked,45,0.4,0.5,9.2,17.3
cod cooked,189,1.5,0,41.1,136.7
seatrout raw,248,8.6,0,39.8,185.9
flounder raw,114,3.1,0,20.2,137.9
spot cooked,79,3.1,0,11.9,34.6
walleye pike cooked,148,1.9,0,30.4,91.1
perch raw,55,0.6,0,11.6,47.5
pumpkin seed sunfish raw,43,0.3,0,9.3,38.2
salt mackerel,415,34.1,0,25.2,58.5
mackerel cooked,231,15.7,0,21,46.9
tilapia cooked,111,2.3,0,22.8,62.3
drum raw,236,9.8,0,34.7,153.1
atlantic croaker fried,192,11,6.6,15.8,52
pumpkin seed sunfish cooked,42,0.3,0,9.2,27.3
wolffish raw,294,7.3,0,53.6,244.5
bluefin tuna cooked,276,9.4,0,44.9,88.6
scup cooked,68,1.8,0,12.1,34.2
herring cooked,290,16.6,0,32.9,91.7
bluefish raw,186,6.4,0,30.1,106.3
sheepshead cooked,234,3,0,48.4,128.4
bass cooked,91,2.9,0,15,42.6
pout cooked,279,3.2,0,58.4,208.5
chinook salmon raw,709,41.3,0,78.9,283.7
rockfish raw,172,2.6,0,35.1,151
tilefish raw,371,8.9,0,67.6,304.6
scup raw,174,4.5,0,31.3,125.1
sablefish cooked,755,59.3,0,51.9,189.8
tuna salad,383,19,19.3,32.9,129.5
coho salmon cooked,255,11.8,0,34.7,95.8
roe raw,20,0.9,0.2,3.1,9.5
sea bass raw,125,2.6,0,23.8,101
pink salmon cooked,349,12,0,56,161.1
sockeye salmon cooked,493,17.3,0,82.1,208.7
whitefish raw,265,11.6,0,37.8,144.1
greenland halibut cooked,760,56.4,0,58.6,196.8
northern pike cooked,350,2.7,0,76.5,226.2
salmon raw,824,53.1,0,80.9,257
turbot cooked,388,12,0,65.4,224
surimi,28,0.3,1.9,4.3,21.6
chinook salmon cooked,711,41.2,0,79.2,202
mullet cooked,140,4.5,0,23.1,65.6
chum salmon raw,3,0.1,0,0.6,2.1
butterfish raw,47,2.6,0,5.5,23.7
sea bass cooked,125,2.6,0,23.9,72.9
greenland halibut raw,759,56.5,0,58.6,286.7
halibut raw,371,5.4,0,75.7,327.8
sturgeon cooked,184,7,0,28.2,95.1
