food,Calorie,Fat,Carbohydrates,Protein,Water
lima beans raw,602,1.2,112.8,38.2,18.1
winged beans raw,744,29.7,75.9,54,15.2
adzuki beans cooked,294,0.2,57,17.3,152.5
black beans raw,662,2.8,121,41.9,21.4
catjang cowpeas cooked,200,1.2,34.7,13.9,119.2
baby lima beans cooked,189,0.5,35,12,130.2
cowpeas raw,41,0.3,8.9,3.1,80.8
shellie beans canned,74,0.5,15.2,4.3,222.2
yardlong beans raw,579,2.2,103.4,40.6,14.1
pinto beans canned,197,1.3,36.4,11,187.7
chickpeas cooked,269,4.2,45,14.5,98.7
cranberry beans raw,653,2.4,117.1,44.9,24.2
mungo beans cooked,189,1,33,13.6,130.5
tamarinds,5,0.013,1.3,0.057,0.6
yellow snap beans cooked,44,0.4,9.9,2.4,111.5
yardlong beans cooked,202,0.8,36.1,14.2,117.6
bacon beef steak,146,12.5,0.2,8.2,6.1
lamb foreshank raw,912,60.7,0,85.8,304
bacon,106,10.2,0.2,3.3,11.7
lamb rib cooked,915,76,0,53.9,122.1
lamb shank raw,912,61.2,0,84.3,304.7
scrapple,60,3.9,4,2.3,17.7
chicken nuggets,61,4.1,3,3.2,9.3
ground lamb cooked,886,61.5,0,77.5,172.4
lamb meat cooked,678,45,0,63.8,139.6
meat extender,275,2.6,33.7,33.5,6.6
lamb leg raw,1043,77.4,0,81.2,291.8
lamb loin cooked,202,14.8,0,16.1,33
chicken patty,172,11.7,7.7,8.9,30.5
lamb shank roasted,605,33.5,0,71,163.2
barbecue loaf,40,2,1.5,3.6,14.9
lamb sirloin cooked,765,54.2,0,64.5,141.8
poultry salad,26,1.8,1,1.5,8.6
ground lamb raw,80,6.6,0,4.7,16.8
lamb loin raw,88,7.5,0,4.6,16
lamb sirloin raw,1234,100.3,0,76.8,273.5
sausage patty mcdonalds,115,11.2,0.4,4.3,11.7
lamb foreshank cooked,360,19.9,0,42,84.1
ham salad,97,7,4.8,3.9,28.2
lamb rib raw,1687,156,0,65.9,230.4
lamb shoulder raw,1198,97.3,0,75.2,278.5
lamb meat raw,1102,84.6,0,79.6,286.5
lamb shoulder cooked,750,53.5,0,62.5,98.5
mutton cooked,66,3.1,0.027,9.5,15.3
lamb leg cooked,684,43.7,0,67.7,152.3
beef stick,110,9.9,1.1,4.3,3.8
veal sirloin cooked,517,26.9,0,64.1,111.7
veal rib cooked,444,22.2,0,57.4,94.4
veal meat cooked,483,23.8,0,62.9,119.3
beef rib roasted,238,19.1,0,15.4,32
veal sirloin raw,689,35.4,0,86.5,325.9
beef top loin filet grilled,323,19,0.8,37,76.7
beef under blade steak cooked,983,46.7,0,140.8,260.9
mock tender steak raw,244,8.3,0,42.2,145.9
ground beef cooked,375,24.8,0,35.5,77.5
ground beef raw,1506,136.1,0,65.1,246.7
beef diced asda,48,0.7,10.5,0,0
veal rib raw,735,40.9,0,85.5,322.7
ground veal raw,41,1.9,0,5.5,20.6
t bone steak cooked,1049,74.1,0,89.3,197.8
veal leg round raw,531,14,0,95.2,339.3
beef top sirloin steak raw,1222,77.3,0,123.4,401.8
beef plate steak grilled,508,35.6,0,47.1,89.5
ground veal cooked,514,22.6,0,72.9,199.6
veal leg round cooked,574,17.2,0,98.4,150.9
porterhouse steak raw,1170,91.1,0,81.6,273.1
veal shank raw,513,15.8,0,86.9,348.9
veal breast cooked,753,47.5,0,76.3,158.3
corned beef canned,53,3.1,0,5.7,12.1
rib eye steak grilled,680,47.7,0,62.4,139.5
veal shoulder raw,0,0,0,0,0
t bone steak raw,1052,76.3,0,85.7,282.5
sirloin steak,324,14.1,0,49.5,99.9
mock tender steak cooked,137,4.9,0,21.9,55.7
beef round steak cooked,385,12.1,0,64.8,126.8
chuck blade roast raw,1125,88,0,77.8,277.7
beef shoulder steak raw,349,17.3,0,48.2,171.8
beef top blade cooked,184,10,0,21.9,52.3
corned beef cooked,53,4,0.006,3.8,12.6
beef round steak raw,753,36,0,100.1,313.2
beef shoulder steak grilled,155,5.8,0,24,54.4
chuck eye steak raw,856,62.8,0,72.4,247.6
beef bottom round steak cooked,980,35.1,0,155.8,261
porterhouse steak cooked,235,16.4,0,20.4,46.5
beef under blade steak raw,1235,80.8,0,126.8,241.6
beef plate steak raw,617,46.8,0.9,47.8,168
beef meat canned,111,7.9,0,9.2,27.5
beef breakfast strips raw,92,8.8,0.2,2.8,10.2
beef brisket cooked,589,43.6,0,46,88.3
corned beef raw,898,67.6,0.6,66.6,301.9
beef mince meat asda,55,3.1,6.8,0,0
pastrami beef fat free,9,0.1,0.1,1.9,7.1
rib eye steak raw,743,54.5,0.4,62.8,205.4
beef tenderloin steak cooked,374,24,0,37,78.5
chuck blade roast cooked,842,62,0,66.1,117.7
cured beef dried,4,0.019,0.06,0.9,1.5
beef flank steak cooked,380,17.5,0,51.8,119.1
chuck eye steak grilled,853,60.5,0,76.9,170.1
veal meat raw,653,30.7,0,87.8,330.4
veal loin cooked,80,4.9,0,8.5,14.7
veal loin raw,46,2.6,0,5.3,19.9
veal shoulder cooked,435,19.4,0,61.2,107.7
beef tenderloin steak raw,405,29.8,0,32.2,100.9
veal shank cooked,371,12,0,61.2,119.8
beef brisket raw,1139,86.5,0,83.6,277.1
pastrami beef,104,4.1,0.3,15.5,49.4
beef flank steak raw,47,2.3,0,6,19.7
beef top sirloin steak cooked,430,25.2,0,47.7,103.3
veal breast raw,943,66.9,0,79.2,307
beef rib raw,1433,123.8,0,73.8,247.3
beef jerky,82,5.1,2.2,6.6,4.7
beef breakfast strips cooked,51,3.9,0.2,3.5,3
pork olive loaf,66,4.6,2.6,3.3,16.3
beef luncheon meat jellied,31,0.9,0,5.3,20.9
turkey pastrami,38,1.8,0.5,4.6,20.4
pork salami,41,3.4,0.2,2.3,3.6
canadian style bacon raw,45,2,0.5,5.9,19.1
honey loaf,85,3.6,2.6,9.9,38.4
pork beef salami,37,3.1,0.076,2.1,4
beef pork bologna,92,7.4,1.6,4.6,15.6
pork beef salami cooked,41,3.2,0.3,2.7,5.6
pork breakfast strips raw,88,8.4,0.2,2.7,10.7
pickle pimiento loaf,86,6.1,3.2,4.3,22.9
luxury loaf,39,1.3,1.4,5.2,19.1
mortadella,47,3.8,0.5,2.5,7.8
pork bologna,69,5.6,0.2,4.3,17
turkey salami cooked,9,0.5,0.081,1,3.4
pepperoni beef,10,0.9,0,0.5,0.6
peppered loaf,42,1.8,1.3,4.9,19.2
luncheon meat beef,10,0.3,0,1.8,6.9
lebanon bologna,98,6,0.3,10.8,37.5
chicken pork bologna,94,8.6,1.2,2.9,14.2
turkey roll,40,1.9,0.6,4.9,18.9
beef salami cooked,68,5.8,0.5,3.3,15.6
yachtwurst cooked,150,12.7,0.8,8.3,32.6
italian salami,43,3.7,0.1,2.2,3.5
turkey ham,38,1.6,0.3,5.5,20.2
turkey bologna,59,4.5,1.3,3.2,18.1
sliced turkey breast,17,0.6,0.4,2.4,12.2
luncheon meat pork beef,99,9,0.7,3.5,13.8
beef bologna,90,7.8,1.3,3.3,16.6
turkey bacon cooked,313,22.9,2.5,24.3,26.7
ground emu cooked,178,5.1,0,31,71.8
ostrich leg raw,94,1.5,0,19,64.6
ostrich strip raw,108,2.4,0,20.1,63
emu fillet cooked,607,9.1,0,123.2,261.7
ostrich tenderloin raw,105,2.7,0,18.8,63.3
emu drums cooked,649,8.4,0,134.7,267.5
green turtle raw,25,0.1,0,5.6,22.2
ground bison cooked,448,21.6,0,63.6,162.7
goat meat raw,494,10.5,0,93.4,344
ground emu raw,157,4.7,0,26.6,85.3
ground ostrich raw,180,9.5,0,22,77.5
ostrich tip cooked,123,2.2,0,24.2,58.2
caribou cooked,210,6.4,0,38,86.4
ground ostrich cooked,163,6.6,0,24.3,62.4
ostrich leg cooked,120,1.6,0,24.7,59.5
ostrich top loin cooked,132,3.3,0,23.9,57.8
ostrich strip cooked,139,3.6,0,25,56.6
ostrich tip raw,97,2,0,18.6,64.7
ostrich round raw,99,2,0,18.7,64.3
ground bison raw,124,6.1,0.099,17.2,60.9
ostrich fan raw,99,2.3,0,18.5,64.5
ostrich top loin raw,101,2.5,0,18.4,64
veal brain cooked,461,32.6,0,38.9,260.7
veal tongue cooked,515,25.8,0,65.9,163.4
beef heart cooked,47,1.3,0.057,8.1,18.6
turkey liver cooked,100,4.3,0,14.3,33.9
veal thymus cooked,35,0.9,0,6.4,20.8
beef brain cooked,688,55.6,0,44.1,248.3
beef pancreas cooked,602,38.2,0,60.2,123.4
beef tripe cooked,80,3.4,1.7,10,69.4
chicken gizzard cooked,223,3.9,0,44.1,98.5
pork pancreas cooked,537,26.5,0,69.8,147.7
beef tongue cooked,80,6.3,0,5.5,16.4
lamb heart cooked,353,15.1,3.7,47.7,122.6
beef spleen cooked,447,12.9,0,77.3,215.5
veal kidneys cooked,300,10.4,0,48.4,124.5
chicken heart cooked,268,11.5,0.1,38.3,94
lamb tongue cooked,701,51.7,0,55,147.5
veal heart cooked,368,13.4,0.3,57.7,123.1
chicken liver cooked,76,2.8,0.5,11.3,28.7
lamb pancreas cooked,541,34.9,0,52.7,137.8
veal spleen cooked,445,10,0,83.1,245.8
lamb liver cooked,739,29.6,8.5,102.7,190.4
turkey gizzard cooked,70,2.1,0,11.9,31.1
lamp spleen cooked,460,14.1,0,78.1,195.8
turkey heart cooked,35,1.5,0,5,13.4
beef liver cooked,130,3.6,3.5,19.8,40
lamb lungs cooked,431,11.8,0,75.7,288.9
pork brain cooked,527,36.3,0,46.4,289.9
goose liver,125,4,5.9,15.4,67.5
pork kidneys cooked,211,6.6,0,35.6,96.2
lamb brain cooked,503,35.3,0,43.5,262.8
pork heart cooked,215,7.3,0.6,34.2,98.7
lamb kidneys cooked,349,9.2,2.5,60.3,179.6
beef lungs cooked,364,11.2,0,61.8,231.5
veal pancreas cooked,614,35,0,69.8,133.7
pork liver cooked,584,15.6,13.3,92.1,227.7
beef kidneys cooked,45,1.3,0,7.7,18.9
turkey giblets cooked,164,6.3,0,25.1,63.3
duck liver raw,60,2,1.6,8.2,31.6
veal liver cooked,154,5,3,22.7,47.9
pork lungs cooked,297,9.3,0,49.8,240
veal lungs cooked,312,7.9,0,56.2,232.8
beef thymus cooked,1215,95.2,0,83.2,201.3
ham,46,2.5,1,4.6,18.8
pork meat cooked,283,14.1,0,14.1,79.2
bacon roasted,43,3.3,0.1,3,1
pork top loin roasts raw,3644,182.8,0,468.4,1539.6
pork blade roll raw,76,6.2,0,4.7,16.7
pork backribs raw,2399,174.9,0,204.2,679.8
pork spareribs cooked,703,53.6,0,51.4,71.5
pork stomach cooked,44,2.1,0.029,6.1,20
honey smoked ham cooked,67,1.3,4,9.9,38.5
boston butt steak raw,844,56.1,0,79,313.8
pork sirloin chops cooked,140,4.5,0,23.3,53.9
pork country style ribs raw,242,15.1,0,24.8,87.3
ham patties,205,18.3,1.1,8.3,35.4
pork feet cooked,67,4.5,0,6.2,17.8
ground pork cooked,930,65,0,80.4,165.1
pork centre loin chops cooked,328,17.4,0,40.2,97.8
pork leg cap steak cooked,307,8.6,0,53.5,133.3
pork blade chops raw,376,15.4,0,55.8,191.6
pork tenderloin raw,606,17.8,0,104.3,378.6
pork sirloin chops raw,1090,23.3,0,205.5,669.4
pork leg cap steak raw,284,7.8,0,50,173.7
pork carcass raw,1706,159.1,0,63.1,226
pork splean cooked,446,9.6,0,84.3,199.4
chopped ham,50,2.9,1.2,4.6,18.3
pork centre loin chops raw,338,18,0,41.2,138.7
pork blade chops cooked,265,14.6,1.1,32.4,81.4
boston butt steak cooked,494,32.7,0,46.4,101.7
pork meat raw,179,18.6,0,2.6,7
pork top loin chops raw,287,12.8,0,39.9,130.2
pork blade steak braised,694,44.7,0.087,68.2,148.2
pork boston steaks cooked,438,28.1,0,43.2,96.8
bacon cooked,43,3.1,0.068,3.5,1.9
pickled pork hocks,48,3,0,5.4,19.2
pork boston roast cooked,705,49.4,0,60.5,150.6
canadian style bacon grilled,43,2,0.3,5.7,14.5
ham steak,70,2.4,0,11.1,41.2
pork backfat,3683,402.3,0,13.2,34.9
bacon baked,44,3.5,0.1,2.9,1
pork arm picnic raw,5298,343.4,0,513.6,1875.9
salt pork raw,212,22.8,0,1.4,3.1
pork arm picnic cooked,5292,322.7,0,560.3,1351.9
pork top loin chops cooked,270,11.2,0,39.4,84.3
ground pork raw,329,26.5,0,21.1,76.3
pork shoulder raw,1070,81.6,0,77.9,290.4
pork chitterlings cooked,66,5.8,0,3.5,19.2
pork breakfast strips cooked,52,4.1,0.1,3.3,3
pork blade roll roasted,1079,88.3,1.4,65,211.2
pork tail cooked,1089,98.5,0,46.8,128.4
pork centre rib roasts raw,275,9.7,0,44,146.2
pork centre rib roasts roasted,1942,114.9,0,211.3,452.3
minced ham,55,4.3,0.4,3.4,12
ham roasted,316,21.3,0.6,28.7,85.3
pork loin raw,232,14.7,0,23.1,78.3
pork backribs roasted,2564,188.9,0,202,481.3
pork belly raw,2350,240.5,0,42.4,166.7
ham raw,266,18.2,0.046,23.8,93.2
ham extra lean,45,2.3,0.6,5.1,18.7
pork feet pickled,635,45.5,0.029,52.8,340.2
pork shoulder cooked,394,28.9,0,31.4,74
pork top loin roasts roasted,1628,74.8,0,224.3,540.7
pork skin,154,8.9,0,17.3,0.5
pork country style ribs cooked,235,15.2,0,22.8,46.4
pork blade steak raw,664,43.7,0.6,67.6,276.5
pork tenderloin cooked,153,6.2,0,22.7,46.4
pork loin cooked,213,12.1,0,24.2,51.9
pork ears cooked,184,12,0.2,17.7,80.6
pork tongue cooked,626,43,0,55.7,131.4
pork spareribs raw,3593,303.5,0,200.6,775
ham patties grilled,205,18.5,1,8,30.8
chicken skin roasted,508,45.6,0,22.8,45.1
turkey breast raw,3554,158.9,0,495.6,1585.9
ground turkey raw,169,8.7,0,22.4,82.5
chicken wing cooked,52,3.5,0,4.8,13.1
turkey roast roasted,209,7.8,4.1,28.8,91.6
pheasant meat raw,1448,74.3,0,181.6,542.2
chicken back raw,188,17,0,8.3,34.3
chicken back cooked,93,6.5,0,8,21.9
chicken leg fried,431,25.5,13.8,34.4,82.3
chicken feet cooked,975,66.2,0.9,88,298.5
turkey steak fried,179,10.8,10.9,9.1,31.6
turkey taco meat cooked,271,13.9,5.5,30.7,128.1
chicken leg raw,736,54.9,0.6,56.3,231.5
chicken meat raw,1978,138.6,0,171.1,607.1
chicken neck cooked,94,6.9,0,7.5,23.5
chicken drumstick fried,193,11.3,6,15.8,38
quail egg,14,1,0.08,1.2,6.7
duck meat cooked,472,39.7,0,26.6,72.6
chicken wing roasted,216,14.3,0,20.2,50.5
quail meat cooked,1028,63.9,0,113.7,271.8
goose meat cooked,427,30.7,0,35.2,72.7
chicken breast cooked,114,4.5,0,17.3,36.2
chicken neck raw,149,13.1,0,7,30
duck egg,130,9.6,1,9,49.6
pheasant breast raw,484,11.8,0,88.7,263.5
duck meat raw,5123,498.8,0,145.7,615
squab meat raw,585,47.4,0,36.8,112.6
chicken drumstick raw,211,12.4,0.1,23.4,96.4
turkey meat roasted,284,11.1,0.031,42.8,95.3
chicken breast raw,299,16.1,0,36.3,120.9
ground chicken cooked,474,27.4,0,58.4,162.9
turkey wing cooked,426,23.1,0,50.9,110.7
goose meat raw,6077,550.7,0,259.8,813.4
turkey breast roasted,3266,128,0,496.1,1092.4
chicken fajita strips,13,0.5,0.2,1.7,6.6
crispy chicken strips tyson,145,6,0,0,0
chocolate pudding fat free,105,0.3,23.6,2.2,86.1
tapioca pudding,143,4.3,23.9,2.1,79
tapioca pudding fat free,105,0.4,23.9,1.6,85.4
rice pudding,122,2.4,20.8,3.6,84.9
corn pudding,328,12.6,42.4,11.1,180.8
chocolate pudding,213,6.9,34.5,3.1,104.2
lemon pudding,173,4.4,30.2,4.1,109.8
vanilla pudding,195,5.7,33.9,2.2,107.5
profeel proteiinirahka valio,140,0.4,19.3,175,0
cottage cheese creamed,20,0.9,0.7,2.2,16
zaziki milfina,51,4.4,0,0,0
cottage cheese low fat,163,2.3,6.1,28,186.4
cottage cheese nonfat,104,0.4,9.7,15,117.5
vanilla yogurt low fat,208,3.1,33.8,12.1,193.6
classique yogurt plain 2 liberte,30,1.2,1.7,3.3,0
yoplait light strawberry yogurt yoplait,79,0,0.074,0,0
vanilla yogurt,145,2.1,23.5,8.4,134.3
chocolate yogurt,168,0,35.3,5.3,107.4
yogurt parfait,125,1.5,23.6,5,117.7
yogurt,92,4.9,7,5.2,131.9
chocolate frozen yogurt,221,6.3,37.6,5.2,123.9
frozen yogurt,221,6.3,37.6,5.2,123.9
yogurt low fat,154,3.8,17.2,12.9,208.4
vanilla yoghurt oikos,120,1.8,0,0,0
fruit yogurt,149,1.7,28,6,113
danone low fat alsafi,88,1.7,0.089,0,0
fruit n yogurt parfait mcdonalds,156,1.9,30.9,4.1,111.2
triple zero greek yogurt dannon oikos,120,0,22.5,0.038,0
greek yogurt,100,0.7,6.1,17.3,144.7
chocolate rasberry protein mini proteinfx,102,2.9,0,0,0
gushers fruit gushers,360,6,0.2,0,0
egg fried,90,6.8,0.4,6.3,32
glucerna abbott,1010,35.6,120.9,0,0
sports drink,26,0,7.2,0,232.3
peanut butter cookie protein syntha 6,200,6,5,0,0
hanfprotein pulver rohkostqualitat veganz,107,3.1,14.2,0,0
smoothie high protein creamy chocolate slimfast,110,3.5,2.1,12,15
egg large,138,9.3,0,0,0
boysenberries frozen,66,0.3,16.1,1.5,113.4
malt beverage,88,0.3,19.1,0.5,216
chocolate powder for milk,88,0.5,19.9,1,0.2
vegetable fruit juice,9,0.017,2.2,0.071,27.2
cocoa powder unsweetened,12,0.7,3.1,1.1,0.2
coconut milk,35,3.6,0.8,0.3,10.1
cocoa powder,28,0.3,5.9,0.5,0.1
rice drink,113,2.3,22,0.7,214.3
coconut water,46,0.5,8.9,1.7,228
caramel med iced coffee dunkin donuts,268,9,0,0,0
instant coffee with water decaffeinated,4,0,0.8,0.2,177.1
instant coffee powder,353,0.5,75.4,12.2,3.1
instant coffee powder decaffeinated,6,0.069,1.4,0.2,0.051
instant cappuccino powder,53,0.7,11.2,0.4,0.2
coffee decaffeinated,0,0,0,0.2,235.3
espresso decaffeinated,3,0.011,0.5,0.065,29.3
instant coffee with water,4,0,0.6,0.2,177.4
coffee,2,0.069,0,0.3,235.6
espresso,3,0.086,0.5,0.021,29.3
whey protein powder vanilla eas,108,1.7,0,0,0
energy drink sugar free red bull,13,0.2,1.8,0.6,245.9
powerade coca cola,9,0.009,2.3,0,27.1
amp energy pepsi,110,0.2,29,0.6,209.5
gatorade g2 pepsi,2,0.052,0.6,0.069,28.9
amp energy sugar free pepsi,5,0,2.5,0,236
energy drink red bull,111,0,26.4,1.2,230.2
powerade zero ion4 coca cola,0,0,0,0,29.5
full throttle coca cola,110,0.2,29,0.6,209.5
passion fruit juice purple,148,0.4,35.7,1.7,208
pomegranate juice,134,0.7,32.7,0.4,214
cranberry apricot juice,157,0,39.7,0.5,204.6
pineapple juice,133,0.3,32.2,0.9,215.9
passion fruit juice yellow,126,0.1,33.6,1,211.5
orange apricot juice,128,0.3,31.8,0.8,216.8
tangerine juice,106,0.5,24.9,1.2,219.6
orange juice,90,0.4,20.8,1.4,176.6
grapefruit juice,96,0.2,22.7,1.2,222.3
pineapple grapefruit juice,118,0.3,29,0.5,219.8
tamarind nectar,143,0.3,37,0.2,213.3
apple juice,114,0.3,28,0.2,218.8
limeade,128,0,34.1,0,212.6
guava nectar,158,0.2,40.8,0.2,209.6
orange grapefruit juice,106,0.2,25.4,1.5,218.9
orange juice sainsburys,14,0.088,0,0,0
cranberry apple juice,154,0.3,38.8,0,205.3
pineapple orange juice,125,0,29.5,3.3,217.3
pear nectar,150,0.062,39.4,0.3,210
blackberry juice,95,1.5,19.5,0.8,227.3
lemon juice,54,0.6,16.6,0.9,225.2
cranberry grape juice,137,0.2,34.3,0.5,209.7
citrus fruit juice,114,0.057,28.3,0.8,217.8
prune juice,182,0.006,44.7,1.6,208
guanabana nectar,148,0.4,37.5,0.3,212.6
fruit juice,108,0.1,26.3,0.3,172.7
horchata,15,0.2,3.3,0.1,24.6
fruit punch,98,0.4,24.4,0.2,208.6
apricot nectar,139,0.2,35.7,0.9,210.5
orangensaft ja,86,0,1.4,0,0
fruchtcocktail granini,102,0.4,1,0,0
peach nectar,125,1.3,29.7,0.5,217.3
orange pineapple juice,15,0.08,3.6,0.1,25.7
cranberry juice,92,0.3,24.4,0.8,174.3
white grapefruit juice,96,0.2,22.7,1.2,222.3
mango nectar,128,0.2,32.9,0.3,217.4
acerola cherry juice,56,0.7,11.6,1,228.2
apple juice concentrate,350,0.8,86.5,1.1,120.3
papaya nectar,143,0.4,36.3,0.4,212.6
apple juice martinellis,122,0,0,0,0
lime juice,61,0.2,20.4,1,219.7
grape juice,152,0.3,37.4,0.9,213.8
water dannon,0,0,0,0,330.9
tap water,0,0,0,0,236.8
table water,0,0,0,0,499.5
fruit flavored water,52,0,13,0,223.8
water,0,0,0,0,237
cola light coca cola,0,0,0,0,336.5
lemon lime soda,151,0,38.4,0.3,330.2
tonic water,114,0,29.6,0,306.1
lemonade low calorie,7,0,1.6,0.092,236.8
ginger ale,68,0,17.5,0,182.5
ice tea lemon flavor nestle,88,0,22.3,0,223.4
sprite coca cola,80,0.063,20.3,0.1,179.6
cola coca cola,151,0,38.9,0,329.8
cola,74,0.07,19.1,0.1,180.6
cream soda,252,0,65.7,0,428.3
club soda,0,0,0,0,199.8
pink lemonade,86,0.3,21.6,0.1,177.8
grape soda,160,0,41.7,0,330.3
cola without caffeine coca cola,151,0,38.9,0,329.8
white lemonade,80,0.003,20.8,0.1,178.7
chocolate soda,207,0,52.6,0,438.9
sweet tea lipton,130,0,35,0,0
hibiscus tea,74,1.3,14.8,0.9,179.3
instant lemon tea,2,0,0.3,0.1,199.2
pesca tea santal,116,0,0,0,0
instant lemon tea sweetened,91,0.2,22.3,0.071,236.2
tea with milk and sugar yorkshire,15,0.5,0.4,0,0
tea blueberry muffin tekanne,4,0.2,0.4,0,0
chamomile tea,2,0,0.4,0,199.4
black tea,2,0,0.7,0,236.3
herb tea,2,0,0.4,0,199.4
clam tomato juice,80,0.3,18.2,1,145.1
tomato juice,41,0.7,8.6,2.1,229
vegetable juice,53,0.2,11.1,1.5,226.3
tomato vegetable juice,53,0.2,11.1,1.5,226.3
carrot juice,80,0.3,18.6,1.9,177.7
acorn dried,144,8.9,15.2,2.3,1.4
fenugreek seeds,36,0.7,6.5,2.6,1
peanut topping mcdonalds,181,15,4.6,7.9,0.2
beechnuts dried,173,15,10.1,1.9,2
breadnut tree seeds raw,61,0.3,13.1,1.7,12.7
cumin seeds,8,0.5,0.9,0.4,0.2
pili nuts dried,863,95.5,4.8,13,3.3
hazelnuts roasted,194,18.7,5.3,4.5,0.8
lupins cooked,193,4.8,15.4,25.8,118
hazelnuts blanched,178,17.3,4.8,3.9,1.6
brazilnuts dried,33,3.3,0.6,0.7,0.2
sunflower seeds dry roasted,47,4,1.9,1.5,0.076
ginkgo nuts canned,172,2.5,34.3,3.5,113.1
peanuts cooked,572,39.6,38.3,24.3,75.2
pumpkin squash seeds dried,721,63.3,13.8,39,6.7
cashew nuts raw,156,12.4,8.5,5.2,1.5
sunflower seeds dried,269,23.7,9.2,9.6,2.2
lotus seeds dried,106,0.6,20.6,4.9,4.5
butternuts dried,734,68.4,14.5,29.9,4
sesame seeds dried,52,4.5,2.1,1.6,0.4
breadfruit seeds,57,1.7,8.8,2.2,16.9
pinyon pine nuts dried,1,0.073,0.01,0.083,0.045
pine nuts dried,909,92.3,17.7,18.5,3.1
flaxseeds,55,4.3,3,1.9,0.7
safflower seed kernels dried,146,10.9,9.7,4.6,1.6
pistachio nuts raw,691,55.8,33.8,24.9,4.8
peanuts raw,828,71.9,23.5,37.7,9.5
poppy seeds,46,3.7,2.5,1.6,0.5
valencia peanuts raw,832,69.5,30.5,36.6,6.2
spanish peanuts,832,72.4,23.1,38.2,9.3
dill seeds,20,1,3.6,1.1,0.5
caraway seeds,22,1,3.3,1.3,0.7
acorn raw,110,6.8,11.5,1.7,7.9
almonds roasted,182,16.6,5.3,6.4,0.8
lotus seeds raw,25,0.1,4.9,1.2,21.8
chestnuts cooked,37,0.4,7.9,0.6,19.3
alfalfa seeds,1,0.075,0.002,0.1,2.8
virginia peanuts roasted,173,14.6,6,7.8,0.7
hazelnuts raw,471,45.6,12.5,11.2,4
anise seeds,7,0.3,1.1,0.4,0.2
macadamia nuts roasted,215,22.8,4,2.3,0.5
studentenfutter alnatura,139,7.8,13.2,3.1,0
pumpkin squash seeds roasted,46,3.9,1.2,2.4,0.2
water chestnut raw,120,0.1,29.7,1.7,91.1
chestnuts roasted,37,0.3,7.9,0.5,6.1
ginkgo nuts raw,52,0.5,10.6,1.2,15.6
almonds raw,9,0.7,0.3,0.3,0.026
peanuts roasted,180,15.8,4.6,8.4,0.4
sunflower seeds toasted,829,76.1,27.6,23.1,1.3
sisymbrium seeds,235,3.4,43.1,9,4.5
breadnut tree seeds dried,587,2.7,127,13.8,10.4
pecans raw,753,78.4,15.1,10,3.8
chia seeds dried,138,8.7,11.9,4.7,1.6
japanese chestnuts roasted,57,0.2,12.8,0.8,14.1
sesame seeds toasted,45,3.8,2.1,1.4,0.3
cashew nuts roasted,174,14.3,9,5.1,0.7
lupins raw,668,17.5,72.7,65.1,18.8
mustard seeds ground,10,0.7,0.6,0.5,0.1
mixed nuts roasted,178,15.4,7.6,5.2,0.5
salat mix alestro,61,5.2,2.4,0,0
chestnuts raw,309,3.3,66,3.5,70.5
pistachio nuts roasted,172,13.7,8.5,6.3,0.6
walnut,33,3.3,0.7,0.8,0.2
celery seeds,25,1.6,2.7,1.2,0.4
hickorynuts dried,788,77.2,21.9,15.3,3.2
spanish peanuts roasted,851,72.1,25.7,41.2,2.6
woca seeds dried,102,0.3,22.6,2.2,2.6
pecans roasted,215,22.6,3.9,2.8,0.3
fennel seeds,7,0.3,1,0.3,0.2
chinese chestnuts roasted,68,0.3,14.8,1.3,11.4
watermelon seed kernels dried,602,51.2,16.5,30.6,5.5
macadamia nuts raw,38,4,0.7,0.4,0.011
pectin,163,0.2,45.2,0.2,4.4
black walnut dried,31,3,0.5,1.2,0.2
water chestnut canned,70,0.015,17.2,1.2,121
ginkgo nuts dried,98,0.6,20.5,2.9,3.5
virginia peanuts raw,822,71.2,24.1,36.8,10.1
valencia peanuts roasted,177,15.4,4.9,8.1,0.6
nesfit diet cereal nestle,75,0,0,0,0
corn grits cooked,182,1.2,37.9,4.4,213.1
amaranth flakes,134,2.7,27,5.9,1.1
granola,293,14.6,32.3,8.2,3.5
muesli with fruit nuts,231,3.4,45.7,4.3,5.1
muesli master crumble,124,2.4,4.5,2.4,0
bran flakes,131,0.8,32.2,4,1.4
nut cereal,245,5.9,46.2,4,2.6
corn flakes,108,0.3,24.6,1.7,0.9
corn grits dry,36,0.2,7.7,0.7,1.1
margarine with yoghurt,88,9.8,0.073,0.058,3.9
sunflower seed butter,99,8.8,3.7,2.8,0.1
hazelnut oil,120,13.6,0,0,0
menhaden fish oil,1966,218,0,0,0
cod liver fish oil,123,13.6,0,0,0
sardine oil,123,13.6,0,0,0
cupu assu oil,120,13.6,0,0,0
lard,115,12.8,0,0,0
sesame butter,94,8.1,3.8,2.9,0.3
margarine spread,59,6.7,0.1,0.082,7
lard vegetable oil,115,12.8,0,0,0
shortening,113,12.8,0,0,0
vegetable oil spread,75,8.4,0.1,0.007,5.3
cottonseed oil,120,13.6,0,0,0
vegetable oil spread fat free,6,0.5,0.4,0.2,13.7
soy margarine,88,9.9,0,0,3.9
margarine with salt,100,11.3,0.017,0.031,2.3
margarine,102,11.5,0.018,0.037,2.3
salmon fish oil,123,13.6,0,0,0
nutmeg butter oil,1927,218,0,0,0
